station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOAK,2022-12-28 00:00:00,9,1011.0,6.0,12.8,10.9,275.0,6,0.0,0.0
KOAK,2022-12-28 00:00:00,4,1000.0,94.0,12.6,9.9,290.0,12,101.0,0.0
KOAK,2022-12-28 00:00:00,5,981.0,254.0,11.8,9.0,M,M,M,M
KOAK,2022-12-28 00:00:00,6,975.1,304.0,M,M,315.0,14,117.0,0.0
KOAK,2022-12-28 00:00:00,5,947.0,546.0,9.4,8.4,M,M,M,M
KOAK,2022-12-28 00:00:00,6,939.9,609.0,M,M,300.0,12,122.0,0.0
KOAK,2022-12-28 00:00:00,4,925.0,744.0,8.4,4.4,300.0,12,122.0,0.0
KOAK,2022-12-28 00:00:00,5,912.0,860.0,7.6,2.6,M,M,M,M
KOAK,2022-12-28 00:00:00,6,906.0,914.0,M,M,295.0,17,121.0,0.0
KOAK,2022-12-28 00:00:00,5,904.0,932.0,7.0,2.1,M,M,M,M
KOAK,2022-12-28 00:00:00,5,882.0,1133.0,6.4,-3.6,M,M,M,M
KOAK,2022-12-28 00:00:00,6,872.8,1219.0,M,M,275.0,22,115.0,0.0
KOAK,2022-12-28 00:00:00,5,870.0,1245.0,7.2,-6.8,M,M,M,M
KOAK,2022-12-28 00:00:00,4,850.0,1440.0,6.2,-1.8,260.0,25,109.0,1.0
KOAK,2022-12-28 00:00:00,6,841.3,1524.0,M,M,260.0,26,106.0,1.0
KOAK,2022-12-28 00:00:00,5,839.0,1546.0,5.2,1.1,M,M,M,M
KOAK,2022-12-28 00:00:00,5,837.0,1565.0,5.2,0.2,M,M,M,M
KOAK,2022-12-28 00:00:00,5,832.0,1614.0,4.8,1.0,M,M,M,M
KOAK,2022-12-28 00:00:00,5,830.0,1634.0,4.6,0.2,M,M,M,M
KOAK,2022-12-28 00:00:00,5,828.0,1654.0,4.6,-3.4,M,M,M,M
KOAK,2022-12-28 00:00:00,5,823.0,1703.0,4.6,-4.4,M,M,M,M
KOAK,2022-12-28 00:00:00,5,820.0,1733.0,4.4,-4.6,M,M,M,M
KOAK,2022-12-28 00:00:00,5,813.0,1803.0,4.6,-6.4,M,M,M,M
KOAK,2022-12-28 00:00:00,6,810.5,1828.0,M,M,270.0,31,100.0,1.0
KOAK,2022-12-28 00:00:00,6,780.4,2133.0,M,M,265.0,29,97.0,2.0
KOAK,2022-12-28 00:00:00,5,755.0,2399.0,0.4,-7.6,M,M,M,M
KOAK,2022-12-28 00:00:00,6,751.3,2438.0,M,M,255.0,30,94.0,2.0
KOAK,2022-12-28 00:00:00,5,746.0,2495.0,-0.1,-11.1,M,M,M,M
