station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOAK,2022-12-26 12:00:00,4,400.0,7490.0,-24.3,-24.5,250.0,47,62.0,10.0
KOAK,2022-12-26 12:00:00,6,392.9,7620.0,M,M,250.0,47,63.0,10.0
KOAK,2022-12-26 12:00:00,6,376.6,7924.0,M,M,250.0,50,63.0,11.0
KOAK,2022-12-26 12:00:00,5,370.0,8052.0,-28.5,-28.8,M,M,M,M
KOAK,2022-12-26 12:00:00,5,368.0,8091.0,-28.5,-29.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,366.0,8130.0,-27.9,-30.6,M,M,M,M
KOAK,2022-12-26 12:00:00,5,361.0,8228.0,-28.5,-31.6,M,M,M,M
KOAK,2022-12-26 12:00:00,5,356.0,8328.0,-28.9,-34.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,345.8,8534.0,M,M,265.0,57,65.0,13.0
KOAK,2022-12-26 12:00:00,5,345.0,8551.0,-30.5,-35.3,M,M,M,M
KOAK,2022-12-26 12:00:00,5,338.0,8696.0,-31.5,-35.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,326.0,8950.0,-33.9,-38.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,318.0,9123.0,-35.1,-43.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,317.0,9144.0,M,M,255.0,56,67.0,14.0
KOAK,2022-12-26 12:00:00,5,311.0,9277.0,-36.5,-45.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,307.0,9366.0,-37.3,-45.3,M,M,M,M
KOAK,2022-12-26 12:00:00,4,300.0,9530.0,-38.7,-47.7,250.0,52,67.0,16.0
KOAK,2022-12-26 12:00:00,5,291.0,9738.0,-40.5,-50.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,277.5,10058.0,M,M,250.0,50,67.0,17.0
KOAK,2022-12-26 12:00:00,5,277.0,10071.0,-43.7,-49.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,265.0,10366.0,-46.5,-51.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,253.0,10671.0,-49.1,-53.4,M,M,M,M
KOAK,2022-12-26 12:00:00,4,250.0,10750.0,-49.9,-54.9,260.0,57,68.0,19.0
KOAK,2022-12-26 12:00:00,5,242.0,10961.0,-51.9,-57.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,239.0,11041.0,-52.5,-61.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,230.3,11277.0,M,M,260.0,63,69.0,21.0
KOAK,2022-12-26 12:00:00,5,224.0,11455.0,-56.5,-61.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,220.0,11569.0,-57.5,-66.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,204.0,12039.0,-62.3,-69.3,M,M,M,M
KOAK,2022-12-26 12:00:00,4,200.0,12160.0,-63.5,-69.5,260.0,63,70.0,24.0
KOAK,2022-12-26 12:00:00,5,183.0,12697.0,-68.5,-71.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,170.0,13133.0,-72.7,-79.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,162.1,13411.0,M,M,265.0,63,72.0,28.0
KOAK,2022-12-26 12:00:00,5,157.0,13597.0,-74.5,-79.2,M,M,M,M
KOAK,2022-12-26 12:00:00,5,153.0,13748.0,-71.5,-78.5,M,M,M,M
KOAK,2022-12-26 12:00:00,4,150.0,13870.0,-72.1,-79.1,265.0,52,73.0,30.0
KOAK,2022-12-26 12:00:00,6,146.2,14020.0,M,M,265.0,52,73.0,30.0
KOAK,2022-12-26 12:00:00,5,145.0,14068.0,-73.4,-81.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,144.0,14108.0,-72.1,-81.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,140.0,14273.0,-73.1,-82.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,130.0,14707.0,-72.5,-83.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,120.0,15180.0,-69.1,-85.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,118.8,15240.0,M,M,285.0,55,75.0,34.0
KOAK,2022-12-26 12:00:00,6,112.9,15544.0,M,M,265.0,35,76.0,34.0
KOAK,2022-12-26 12:00:00,5,111.0,15642.0,-71.1,-86.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,107.2,15849.0,M,M,270.0,52,76.0,35.0
KOAK,2022-12-26 12:00:00,5,103.0,16087.0,-67.3,-85.3,M,M,M,M
KOAK,2022-12-26 12:00:00,6,101.9,16154.0,M,M,295.0,55,77.0,36.0
KOAK,2022-12-26 12:00:00,4,100.0,16270.0,-67.7,-85.7,310.0,36,77.0,36.0
KOAK,2022-12-26 12:00:00,6,96.9,16459.0,M,M,305.0,49,77.0,36.0
KOAK,2022-12-26 12:00:00,5,94.6,16601.0,-69.7,-86.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,92.3,16748.0,-67.9,-86.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,92.1,16764.0,M,M,295.0,28,78.0,37.0
KOAK,2022-12-26 12:00:00,5,84.5,17277.0,-68.3,-87.3,M,M,M,M
KOAK,2022-12-26 12:00:00,5,82.6,17413.0,-67.1,-87.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,79.0,17678.0,M,M,300.0,32,79.0,38.0
KOAK,2022-12-26 12:00:00,5,78.1,17749.0,-68.5,-87.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,75.1,17983.0,M,M,280.0,31,80.0,39.0
KOAK,2022-12-26 12:00:00,6,71.4,18288.0,M,M,285.0,38,80.0,39.0
KOAK,2022-12-26 12:00:00,4,70.0,18410.0,-66.9,-87.9,280.0,26,80.0,39.0
KOAK,2022-12-26 12:00:00,5,68.9,18506.0,-66.1,-88.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,67.9,18592.0,M,M,290.0,31,80.0,40.0
KOAK,2022-12-26 12:00:00,5,66.3,18738.0,-67.5,-88.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,61.4,19200.0,-67.1,-89.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,61.4,19202.0,M,M,270.0,39,81.0,41.0
KOAK,2022-12-26 12:00:00,6,55.5,19812.0,M,M,285.0,47,82.0,42.0
KOAK,2022-12-26 12:00:00,5,55.0,19871.0,-61.7,-87.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,52.9,20116.0,M,M,295.0,44,82.0,43.0
KOAK,2022-12-26 12:00:00,6,50.4,20421.0,M,M,305.0,34,83.0,43.0
KOAK,2022-12-26 12:00:00,4,50.0,20470.0,-62.7,-88.7,300.0,28,83.0,43.0
KOAK,2022-12-26 12:00:00,6,48.0,20726.0,M,M,300.0,28,83.0,44.0
KOAK,2022-12-26 12:00:00,5,46.0,20982.0,-63.1,-89.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,43.4,21336.0,M,M,285.0,31,84.0,45.0
KOAK,2022-12-26 12:00:00,5,43.2,21369.0,-60.9,-88.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,39.4,21945.0,M,M,305.0,37,84.0,46.0
KOAK,2022-12-26 12:00:00,6,37.5,22250.0,M,M,320.0,23,85.0,46.0
KOAK,2022-12-26 12:00:00,5,37.0,22327.0,-61.7,-88.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,35.7,22555.0,M,M,280.0,21,85.0,46.0
KOAK,2022-12-26 12:00:00,6,34.0,22860.0,M,M,295.0,30,85.0,47.0
KOAK,2022-12-26 12:00:00,5,33.4,22964.0,-58.7,-87.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,31.3,23370.0,-59.5,-88.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,30.8,23469.0,M,M,290.0,39,86.0,48.0
KOAK,2022-12-26 12:00:00,5,30.2,23595.0,-56.3,-87.3,M,M,M,M
KOAK,2022-12-26 12:00:00,4,30.0,23640.0,-56.5,-87.5,300.0,30,86.0,48.0
KOAK,2022-12-26 12:00:00,5,28.1,24055.0,-55.7,-86.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,26.7,24384.0,M,M,305.0,37,87.0,49.0
KOAK,2022-12-26 12:00:00,5,25.9,24570.0,-57.9,-87.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,24.2,24993.0,M,M,315.0,29,88.0,50.0
KOAK,2022-12-26 12:00:00,6,23.1,25298.0,M,M,300.0,30,88.0,50.0
KOAK,2022-12-26 12:00:00,5,22.8,25380.0,-53.3,-86.3,M,M,M,M
KOAK,2022-12-26 12:00:00,5,22.0,25609.0,-54.5,-85.5,M,M,M,M
KOAK,2022-12-26 12:00:00,4,20.0,26230.0,-52.1,-85.1,290.0,48,89.0,52.0
KOAK,2022-12-26 12:00:00,5,19.6,26361.0,-50.7,-84.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,19.2,26495.0,-51.5,-84.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,17.4,27138.0,-47.1,-83.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,16.7,27432.0,M,M,295.0,55,90.0,55.0
KOAK,2022-12-26 12:00:00,5,16.6,27448.0,-47.5,-82.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,15.1,28076.0,-45.1,-82.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,14.9,28164.0,-45.5,-82.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,13.7,28727.0,-41.5,-80.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,13.4,28878.0,-37.9,-79.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,13.3,28930.0,-35.9,-78.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,13.2,28956.0,M,M,280.0,61,92.0,60.0
KOAK,2022-12-26 12:00:00,6,12.7,29260.0,M,M,285.0,59,92.0,61.0
KOAK,2022-12-26 12:00:00,5,12.2,29532.0,-33.1,-77.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,12.1,29565.0,M,M,265.0,60,92.0,62.0
KOAK,2022-12-26 12:00:00,6,11.2,30176.0,M,M,275.0,52,92.0,64.0
KOAK,2022-12-26 12:00:00,5,11.1,30189.0,-37.3,-79.3,M,M,M,M
KOAK,2022-12-26 12:00:00,6,10.6,30486.0,M,M,275.0,56,92.0,65.0
KOAK,2022-12-26 12:00:00,6,10.2,30790.0,M,M,260.0,59,92.0,66.0
KOAK,2022-12-26 12:00:00,4,10.0,30920.0,-38.1,-79.1,265.0,66,92.0,66.0
KOAK,2022-12-26 12:00:00,6,8.5,32010.0,M,M,280.0,76,92.0,71.0
KOAK,2022-12-26 12:00:00,5,8.0,32450.0,-38.7,-79.7,M,M,M,M
KOAK,2022-12-27 00:00:00,9,1018.0,6.0,11.2,7.7,295.0,5,0.0,0.0
KOAK,2022-12-27 00:00:00,5,1001.0,146.0,10.0,7.1,M,M,M,M
KOAK,2022-12-27 00:00:00,4,1000.0,154.0,10.0,7.0,250.0,1,91.0,0.0
KOAK,2022-12-27 00:00:00,5,993.0,212.0,10.2,7.1,M,M,M,M
KOAK,2022-12-27 00:00:00,5,986.0,271.0,11.2,7.4,M,M,M,M
KOAK,2022-12-27 00:00:00,6,982.1,304.0,M,M,225.0,5,74.0,0.0
KOAK,2022-12-27 00:00:00,5,976.0,356.0,10.8,7.2,M,M,M,M
KOAK,2022-12-27 00:00:00,5,965.0,450.0,11.4,8.8,M,M,M,M
KOAK,2022-12-27 00:00:00,5,961.0,485.0,12.0,8.3,M,M,M,M
KOAK,2022-12-27 00:00:00,6,946.9,609.0,M,M,235.0,15,55.0,0.0
KOAK,2022-12-27 00:00:00,4,925.0,806.0,11.4,7.5,220.0,20,51.0,0.0
KOAK,2022-12-27 00:00:00,5,919.0,860.0,11.0,7.5,M,M,M,M
KOAK,2022-12-27 00:00:00,6,913.1,914.0,M,M,210.0,19,47.0,0.0
KOAK,2022-12-27 00:00:00,5,905.0,988.0,11.8,5.8,M,M,M,M
KOAK,2022-12-27 00:00:00,5,894.0,1090.0,12.0,2.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,891.0,1118.0,12.8,-5.2,M,M,M,M
