station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KREV,2022-12-27 12:00:00,9,839.0,1516.0,7.8,4.6,240.0,14,0.0,0.0
KREV,2022-12-27 12:00:00,4,1000.0,39.0,M,M,M,M,M,M
KREV,2022-12-27 12:00:00,4,925.0,701.0,M,M,M,M,M,M
KREV,2022-12-27 12:00:00,4,850.0,1407.0,M,M,M,M,M,M
KREV,2022-12-27 12:00:00,6,807.4,1828.0,M,M,200.0,10,39.0,0.0
KREV,2022-12-27 12:00:00,6,777.7,2133.0,M,M,240.0,27,39.0,0.0
KREV,2022-12-27 12:00:00,5,764.0,2277.0,2.4,0.6,M,M,M,M
KREV,2022-12-27 12:00:00,6,749.0,2438.0,M,M,225.0,35,46.0,1.0
KREV,2022-12-27 12:00:00,6,721.4,2743.0,M,M,215.0,55,43.0,1.0
KREV,2022-12-27 12:00:00,4,700.0,2987.0,-0.1,-2.1,225.0,60,42.0,2.0
KREV,2022-12-27 12:00:00,5,697.0,3021.0,0.0,-1.9,M,M,M,M
KREV,2022-12-27 12:00:00,6,694.6,3048.0,M,M,230.0,74,42.0,2.0
KREV,2022-12-27 12:00:00,5,683.0,3183.0,0.4,-0.7,M,M,M,M
KREV,2022-12-27 12:00:00,5,655.0,3518.0,0.8,-0.8,M,M,M,M
KREV,2022-12-27 12:00:00,6,643.7,3657.0,M,M,245.0,80,49.0,5.0
KREV,2022-12-27 12:00:00,5,641.0,3691.0,0.2,-2.0,M,M,M,M
KREV,2022-12-27 12:00:00,5,597.0,4255.0,-3.5,-4.5,M,M,M,M
KREV,2022-12-27 12:00:00,6,596.1,4267.0,M,M,250.0,78,55.0,7.0
KREV,2022-12-27 12:00:00,6,551.4,4876.0,M,M,250.0,80,59.0,10.0
KREV,2022-12-27 12:00:00,4,500.0,5640.0,-11.5,-13.4,250.0,84,61.0,13.0
KREV,2022-12-27 12:00:00,6,470.9,6096.0,M,M,250.0,82,62.0,16.0
KREV,2022-12-27 12:00:00,5,470.0,6110.0,-14.5,-16.8,M,M,M,M
KREV,2022-12-27 12:00:00,5,466.0,6174.0,-15.1,-17.4,M,M,M,M
KREV,2022-12-27 12:00:00,5,456.0,6337.0,-16.1,-18.5,M,M,M,M
KREV,2022-12-27 12:00:00,5,401.0,7290.0,-22.5,-25.6,M,M,M,M
KREV,2022-12-27 12:00:00,4,400.0,7320.0,-22.7,-25.8,255.0,80,65.0,21.0
KREV,2022-12-27 12:00:00,6,383.7,7620.0,M,M,250.0,82,65.0,22.0
KREV,2022-12-27 12:00:00,5,361.0,8062.0,-28.1,-32.0,M,M,M,M
KREV,2022-12-27 12:00:00,6,337.8,8534.0,M,M,250.0,93,66.0,27.0
KREV,2022-12-27 12:00:00,5,335.0,8592.0,-32.7,-36.2,M,M,M,M
KREV,2022-12-27 12:00:00,6,309.5,9144.0,M,M,255.0,107,66.0,30.0
KREV,2022-12-27 12:00:00,4,300.0,9360.0,-38.9,-42.3,260.0,113,67.0,31.0
KREV,2022-12-27 12:00:00,6,283.0,9753.0,M,M,260.0,119,68.0,34.0
KREV,2022-12-27 12:00:00,6,270.5,10058.0,M,M,260.0,114,68.0,36.0
KREV,2022-12-27 12:00:00,5,264.0,10221.0,-46.3,-50.0,M,M,M,M
KREV,2022-12-27 12:00:00,4,250.0,10580.0,-49.3,-52.7,270.0,129,70.0,39.0
KREV,2022-12-27 12:00:00,6,246.6,10668.0,M,M,270.0,128,70.0,40.0
KREV,2022-12-27 12:00:00,5,228.0,11176.0,-54.1,-57.3,M,M,M,M
KREV,2022-12-27 12:00:00,5,205.0,11847.0,-60.3,-63.7,M,M,M,M
KREV,2022-12-27 12:00:00,4,200.0,12010.0,-61.5,-64.6,270.0,135,74.0,49.0
KREV,2022-12-27 12:00:00,6,184.9,12496.0,M,M,265.0,140,75.0,53.0
KREV,2022-12-27 12:00:00,5,166.0,13164.0,-60.5,-66.5,M,M,M,M
KREV,2022-12-27 12:00:00,6,159.4,13411.0,M,M,265.0,72,76.0,58.0
KREV,2022-12-27 12:00:00,4,150.0,13780.0,-58.3,-65.3,280.0,67,76.0,59.0
KREV,2022-12-27 12:00:00,5,149.0,13822.0,-58.3,-65.3,M,M,M,M
KREV,2022-12-27 12:00:00,5,143.0,14080.0,-58.9,-66.9,M,M,M,M
KREV,2022-12-27 12:00:00,5,131.0,14626.0,-61.3,-70.3,M,M,M,M
KREV,2022-12-27 12:00:00,6,130.9,14630.0,M,M,300.0,55,77.0,62.0
KREV,2022-12-27 12:00:00,5,127.0,14817.0,-61.3,-70.3,M,M,M,M
KREV,2022-12-27 12:00:00,6,124.6,14935.0,M,M,295.0,65,78.0,63.0
KREV,2022-12-27 12:00:00,6,118.5,15240.0,M,M,300.0,61,79.0,64.0
KREV,2022-12-27 12:00:00,5,107.0,15860.0,-68.1,-79.1,M,M,M,M
KREV,2022-12-27 12:00:00,5,105.0,15973.0,-68.1,-79.1,M,M,M,M
KREV,2022-12-27 12:00:00,5,103.0,16088.0,-67.9,-79.9,M,M,M,M
KREV,2022-12-27 12:00:00,4,100.0,16270.0,-68.1,-80.1,285.0,52,80.0,66.0
KREV,2022-12-27 12:00:00,5,87.3,17081.0,-69.4,-82.4,M,M,M,M
KREV,2022-12-27 12:00:00,6,83.1,17373.0,M,M,290.0,68,81.0,70.0
KREV,2022-12-27 12:00:00,5,73.4,18106.0,-72.1,-87.1,M,M,M,M
KREV,2022-12-27 12:00:00,6,71.3,18288.0,M,M,300.0,41,83.0,72.0
KREV,2022-12-27 12:00:00,4,70.0,18400.0,-66.9,-84.9,275.0,36,83.0,72.0
KREV,2022-12-27 12:00:00,6,67.8,18592.0,M,M,275.0,36,83.0,73.0
KREV,2022-12-27 12:00:00,5,67.0,18665.0,-65.7,-84.7,M,M,M,M
KREV,2022-12-27 12:00:00,5,61.8,19151.0,-68.5,-87.5,M,M,M,M
KREV,2022-12-27 12:00:00,6,61.3,19202.0,M,M,285.0,35,83.0,74.0
KREV,2022-12-27 12:00:00,5,59.5,19381.0,-62.1,-86.1,M,M,M,M
KREV,2022-12-27 12:00:00,6,52.7,20116.0,M,M,265.0,10,83.0,75.0
KREV,2022-12-27 12:00:00,5,50.1,20426.0,-68.1,-95.1,M,M,M,M
KREV,2022-12-27 12:00:00,4,50.0,20440.0,-68.1,-95.1,280.0,42,83.0,75.0
KREV,2022-12-27 12:00:00,5,49.2,20536.0,-68.5,-76.5,M,M,M,M
KREV,2022-12-27 12:00:00,6,49.1,20726.0,M,M,280.0,26,83.0,76.0
KREV,2022-12-28 00:00:00,9,837.0,1516.0,6.4,1.4,250.0,26,0.0,0.0
KREV,2022-12-28 00:00:00,6,9999.9,17678.0,M,M,270.0,69,79.0,42.0
KREV,2022-12-28 00:00:00,4,1000.0,29.0,M,M,M,M,M,M
KREV,2022-12-28 00:00:00,4,925.0,687.0,M,M,M,M,M,M
KREV,2022-12-28 00:00:00,4,850.0,1390.0,M,M,M,M,M,M
KREV,2022-12-28 00:00:00,5,834.0,1545.0,5.8,-1.2,M,M,M,M
KREV,2022-12-28 00:00:00,5,825.0,1633.0,5.0,-2.0,M,M,M,M
KREV,2022-12-28 00:00:00,6,805.3,1828.0,M,M,245.0,40,234.0,5.0
KREV,2022-12-28 00:00:00,5,799.0,1892.0,3.0,-3.0,M,M,M,M
KREV,2022-12-28 00:00:00,6,775.2,2133.0,M,M,240.0,50,233.0,5.0
KREV,2022-12-28 00:00:00,6,746.2,2438.0,M,M,245.0,53,231.0,4.0
KREV,2022-12-28 00:00:00,6,718.2,2743.0,M,M,245.0,54,228.0,3.0
KREV,2022-12-28 00:00:00,5,712.0,2812.0,-2.7,-15.7,M,M,M,M
KREV,2022-12-28 00:00:00,4,700.0,2952.0,-3.9,-14.9,245.0,52,224.0,2.0
KREV,2022-12-28 00:00:00,5,653.0,3494.0,-8.3,-15.3,M,M,M,M
KREV,2022-12-28 00:00:00,6,639.3,3657.0,M,M,245.0,43,191.0,1.0
KREV,2022-12-28 00:00:00,5,615.0,3955.0,-10.9,-21.9,M,M,M,M
KREV,2022-12-28 00:00:00,6,590.3,4267.0,M,M,260.0,52,118.0,1.0
KREV,2022-12-28 00:00:00,5,559.0,4682.0,-13.9,-47.9,M,M,M,M
KREV,2022-12-28 00:00:00,6,544.7,4876.0,M,M,265.0,64,97.0,3.0
KREV,2022-12-28 00:00:00,5,502.0,5486.0,-20.5,-38.5,M,M,M,M
KREV,2022-12-28 00:00:00,4,500.0,5520.0,-20.7,-38.7,270.0,72,92.0,5.0
KREV,2022-12-28 00:00:00,5,485.0,5744.0,-21.7,-35.7,M,M,M,M
KREV,2022-12-28 00:00:00,6,462.2,6096.0,M,M,265.0,79,91.0,8.0
KREV,2022-12-28 00:00:00,5,462.0,6099.0,-24.3,-32.3,M,M,M,M
KREV,2022-12-28 00:00:00,5,451.0,6274.0,-25.3,-31.3,M,M,M,M
KREV,2022-12-28 00:00:00,5,446.0,6355.0,-25.1,-31.1,M,M,M,M
KREV,2022-12-28 00:00:00,6,443.2,6400.0,M,M,265.0,79,90.0,9.0
KREV,2022-12-28 00:00:00,6,425.0,6705.0,M,M,270.0,105,89.0,10.0
KREV,2022-12-28 00:00:00,5,424.0,6722.0,-24.5,-31.5,M,M,M,M
KREV,2022-12-28 00:00:00,4,400.0,7150.0,-26.7,-31.7,260.0,103,88.0,13.0
KREV,2022-12-28 00:00:00,5,385.0,7424.0,-29.1,-34.0,M,M,M,M
KREV,2022-12-28 00:00:00,6,374.5,7620.0,M,M,255.0,96,86.0,16.0
KREV,2022-12-28 00:00:00,5,360.0,7899.0,-32.7,-36.6,M,M,M,M
KREV,2022-12-28 00:00:00,6,343.3,8229.0,M,M,250.0,106,84.0,19.0
KREV,2022-12-28 00:00:00,5,328.0,8546.0,-37.9,-43.9,M,M,M,M
KREV,2022-12-28 00:00:00,6,300.3,9144.0,M,M,245.0,97,80.0,24.0
KREV,2022-12-28 00:00:00,4,300.0,9150.0,-43.1,-48.1,240.0,96,80.0,24.0
KREV,2022-12-28 00:00:00,5,279.0,9633.0,-47.1,-51.4,M,M,M,M
KREV,2022-12-28 00:00:00,5,262.0,10046.0,-49.1,-56.1,M,M,M,M
KREV,2022-12-28 00:00:00,4,250.0,10360.0,-49.7,-60.7,245.0,96,76.0,30.0
KREV,2022-12-28 00:00:00,6,249.9,10363.0,M,M,245.0,96,76.0,30.0
KREV,2022-12-28 00:00:00,6,238.4,10668.0,M,M,245.0,98,76.0,32.0
KREV,2022-12-28 00:00:00,6,227.6,10972.0,M,M,245.0,107,75.0,33.0
KREV,2022-12-28 00:00:00,5,212.0,11433.0,-50.9,-77.9,M,M,M,M
KREV,2022-12-28 00:00:00,6,207.2,11582.0,M,M,245.0,102,74.0,37.0
KREV,2022-12-28 00:00:00,5,203.0,11714.0,-51.3,-81.3,M,M,M,M
KREV,2022-12-28 00:00:00,4,200.0,11810.0,-51.7,-81.7,255.0,101,74.0,38.0
KREV,2022-12-28 00:00:00,5,174.0,12706.0,-54.1,-83.1,M,M,M,M
KREV,2022-12-28 00:00:00,5,168.0,12930.0,-54.5,-83.5,M,M,M,M
KREV,2022-12-28 00:00:00,5,167.0,12968.0,-54.5,-83.5,M,M,M,M
KREV,2022-12-28 00:00:00,6,163.5,13106.0,M,M,265.0,85,75.0,45.0
KREV,2022-12-28 00:00:00,4,150.0,13660.0,-52.9,M,265.0,76,75.0,47.0
KREV,2022-12-28 00:00:00,5,148.0,13746.0,-52.7,M,M,M,M,M
KREV,2022-12-28 00:00:00,6,141.7,14020.0,M,M,270.0,68,76.0,49.0
KREV,2022-12-28 00:00:00,6,122.6,14935.0,M,M,285.0,77,77.0,52.0
KREV,2022-12-28 00:00:00,6,116.8,15240.0,M,M,280.0,70,78.0,53.0
KREV,2022-12-28 00:00:00,6,111.3,15544.0,M,M,275.0,61,78.0,54.0
KREV,2022-12-28 00:00:00,6,101.1,16154.0,M,M,260.0,69,78.0,56.0
KREV,2022-12-28 00:00:00,4,100.0,16220.0,-63.5,M,275.0,80,78.0,57.0
KREV,2022-12-28 00:00:00,6,96.2,16459.0,M,M,275.0,80,79.0,58.0
KREV,2022-12-28 00:00:00,5,93.8,16611.0,-63.9,M,M,M,M,M
KREV,2022-12-28 00:00:00,5,88.2,16989.0,-62.3,M,M,M,M,M
KREV,2022-12-28 00:00:00,6,87.1,17068.0,M,M,275.0,72,79.0,60.0
KREV,2022-12-28 00:00:00,5,83.6,17318.0,-63.5,M,M,M,M,M
KREV,2022-12-28 00:00:00,5,81.5,17476.0,-60.5,M,M,M,M,M
